City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-17.8243,-135.2985,23.34,73,0,10.56,PN,1693061562
1,papatowai,-86.6988,178.9818,-31.39,99,100,6.33,NZ,1693061562
2,ternitz,47.8483,15.8633,27.44,69,97,1.69,AT,1693061562
3,port elizabeth,-88.5962,31.2816,-31.58,100,100,4.34,ZA,1693061563
4,ahmadpur east,28.6977,71.3746,37.58,29,6,3.04,PK,1693061563
5,albany,-84.6904,117.3482,-42.15,100,100,2.09,AU,1693061563
6,noshiro,41.4927,137.6318,23.38,82,3,4.09,JP,1693061563
7,west island,-7.5298,85.9967,26.89,77,9,11.09,CC,1693061564
8,ilulissat,74.2423,-49.7424,-11.14,83,21,7.83,GL,1693061564
9,hithadhoo,-2.6956,75.0066,27.67,81,100,6.61,MV,1693061564
10,blackmans bay,-86.9206,136.8845,-30.73,98,100,5.02,AU,1693061565
11,petropavlovsk-kamchatsky,-48.0173,-113.5001,5.57,74,41,11.01,PN,1693061565
12,tolanaro,46.219,169.2812,13.29,90,84,5.52,RU,1693061565
13,san patricio,-41.4265,53.3672,14.98,86,100,16.84,MG,1693061565
14,grand-bassam,19.1778,-105.1931,27.58,78,77,2.2,MX,1693061566
15,port-aux-francais,2.0093,-4.2535,25.07,79,38,6.46,CI,1693061566
16,laguna,-87.3691,73.4645,-32.43,98,100,5.8,TF,1693061566
17,pyinmana,-30.5904,-45.8923,15.13,60,85,11.64,BR,1693061566
18,anadyr,19.4515,96.313,24.7,95,100,2.23,MM,1693061567
19,ushuaia,55.2955,178.4873,9.39,68,81,4.12,RU,1693061567
20,bilibino,-76.1358,-59.3598,-17.97,97,100,4.94,AR,1693061567
21,dunay,-18.3708,98.8178,22.52,72,50,7.65,CC,1693061568
22,chonchi,81.6074,173.6608,-0.78,93,100,4.98,RU,1693061568
23,saipan,41.613,132.3205,22.78,79,100,2.28,RU,1693061568
24,yilan,-42.2733,-127.5185,9.0,80,100,8.32,PN,1693061568
25,khandyga,-49.3522,-96.7471,5.28,73,81,6.05,CL,1693061569
26,waitangi,23.7715,140.277,27.97,73,6,3.75,MP,1693061569
27,yellowknife,46.2597,129.0552,14.25,97,32,1.63,CN,1693061569
28,tsiombe,59.3814,137.6192,4.89,89,2,1.34,RU,1693061569
29,longyearbyen,-42.5367,-167.7571,9.76,75,100,12.04,NZ,1693061570
30,monroeville,66.4235,-117.6557,3.19,69,99,5.29,CA,1693061570
31,edinburgh of the seven seas,-45.8698,47.5649,7.77,99,100,15.37,MG,1693061570
32,fort st. john,85.1675,25.3257,0.74,93,93,7.03,SJ,1693061570
33,iqaluit,31.7249,-87.4696,32.78,50,36,2.45,US,1693061571
34,flying fish cove,-61.5782,91.4699,-22.85,100,82,10.32,TF,1693061571
35,new norfolk,-26.7859,88.6436,17.36,62,91,9.84,CC,1693061571
36,holualoa,-80.1877,0.3083,-37.9,89,47,5.86,SH,1693061571
37,metlili chaamba,-49.3251,154.5779,6.61,64,100,9.98,AU,1693061572
38,san antonio de pale,59.238,-120.6413,18.38,52,68,4.07,CA,1693061572
39,kodiak,74.2684,-75.4089,2.89,98,100,4.64,CA,1693061572
40,jiuquan,-16.8519,103.7198,24.22,67,0,4.03,CX,1693061572
41,akureyri,-61.9314,128.5577,-2.12,93,100,1.3,AU,1693061573
42,callao,17.9595,-156.2724,25.11,71,5,8.21,US,1693061573
